penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.5,3,60,30,59,ClearNoon,Town10HD_Opt,120.0,143.86573958396912,1.1988811631997427,1432,25000,765,667,1,1,0,62307,3825,3296,2572,54,0,0,3600,0,0.016375000000000008,0.0165,618,390,424
0.5,4,60,30,59,ClearNoon,Town10HD_Opt,120.0,138.99156737327576,1.1582630614439646,1432,25000,743,689,4,2,2,62708,4579,2842,1871,114,0,0,3600,0,0.016375000000000008,0.0165,565,305,562
0.5,0,60,30,45,ClearSunset,Town01,120.0,99.66349864006042,0.8305291553338369,1392,25000,772,620,2,2,0,65694,2799,2141,1366,51,0,0,3600,0,0.016375000000000008,0.0165,740,201,451
0.5,1,60,30,44,ClearSunset,Town01,120.0,97.1760482788086,0.809800402323405,1462,25000,508,954,2,0,2,66173,1939,2138,1750,30,0,0,3600,0,0.016375000000000008,0.0165,801,337,324
0.5,2,60,30,47,ClearSunset,Town01,120.0,101.69506049156189,0.8474588374296824,1396,25000,813,583,0,0,0,65575,2220,2591,1614,42,0,0,3600,0,0.016375000000000008,0.0165,649,396,351
0.5,3,60,30,44,ClearSunset,Town01,120.0,99.6825852394104,0.83068821032842,1455,25000,563,892,0,0,0,64713,3021,2790,1476,33,0,0,3600,0,0.016375000000000008,0.0165,770,321,364
0.5,4,60,30,44,ClearSunset,Town01,120.0,100.22833752632141,0.8352361460526784,1438,25000,835,603,1,1,0,66325,2598,2140,937,12,0,0,3600,0,0.016375000000000008,0.0165,691,303,444
0.5,0,60,30,42,ClearSunset,Town05,120.0,120.03523230552673,1.000293602546056,1364,25000,695,669,1,1,0,65677,1300,1564,3459,16,0,0,3600,0,0.016375000000000008,0.0165,554,480,330
0.5,1,60,30,43,ClearSunset,Town05,120.0,114.36227560043335,0.9530189633369446,986,17754,393,593,0,0,0,65850,1195,1277,3678,26,0,0,3600,0,0.016375000000000008,0.0165,494,271,221
0.5,2,60,30,41,ClearSunset,Town05,120.0,123.65377306938171,1.0304481089115143,1159,21820,494,665,2,2,0,65624,2090,1300,2986,23,0,0,3600,0,0.016375000000000008,0.0165,330,608,221
0.5,3,60,30,42,ClearSunset,Town05,120.0,117.54236507415771,0.9795197089513142,1350,25000,618,732,0,0,0,66260,1501,1326,2913,31,0,0,3600,0,0.016375000000000008,0.0165,594,212,544
